
compound,Alanine
rt =, 415.8,secs
#rt =6.93mins
ion,190
mdv size =,6
#,,M+0,M+1,M+2,M+3,M+4,M+5,
file name,a0903_297,0.757476593654,0.161643594022,0.0686776427591,0.0100428503926,0.00186563299439,0.000293686178021,
file name,a0903_298,0.755688322848,0.164943331054,0.0675399871565,0.00977802540442,0.00179940802823,0.000250925508037,
file name,a0903_299,0.754408795882,0.166596996121,0.0671474860614,0.00970102488894,0.00182409568676,0.000321601360253,



compound,Alanine
rt =, 415.8,secs
#rt = 6.93mins
ion, 116
mdv size =, 6
#,,M+0,M+1,M+2,M+3,M+4,M+5,
file name,a0903_297,0.742205716152,0.185529670258,0.0623422956963,0.00876838239488,0.000799110713625,0.000354824785652,
file name,a0903_298,0.709695079502,0.209264922281,0.0701801446155,0.00964317969148,0.000835730888533,0.000380943020687,
file name,a0903_299,0.696956557166,0.21788080549,0.0737847830385,0.0101097376174,0.000876397562607,0.0003917191252,

